iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
94496000,0,1,1,1171368248954360692736,0.2514764964580536,0.07084247469902039,0.23100046813488007,0.4987981915473938,0.35457950830459595,1.8833820819854736,0.010792209766805172,0.0022685490548610687,0.009437337517738342,0.014668742194771767,0.011976290494203568,0.04298616945743561
94497000,0,1,1,1171368248954360692736,0.2608017921447754,0.07327499985694885,0.24351075291633606,0.5080783367156982,0.3757553994655609,1.9296494722366333,0.010077027603983879,0.003472407814115286,0.007649828679859638,0.015878746286034584,0.013405374251306057,0.043331578373909
94498000,0,1,1,1171368248954360692736,0.2671884596347809,0.07504258304834366,0.2515168786048889,0.5170396566390991,0.3964330554008484,1.9616224765777588,0.009683349169790745,0.0027317125350236893,0.006889392621815205,0.017023218795657158,0.013146787881851196,0.04093122109770775
94499000,0,1,1,1171368248954360692736,0.26337671279907227,0.0749085396528244,0.23998712003231049,0.5207982063293457,0.40382328629493713,1.9420225620269775,0.006779531016945839,0.0032589840702712536,0.003222753293812275,0.012641862034797668,0.008312358520925045,0.03253648057579994
94500000,0,1,1,1171368248954360692736,0.252715528011322,0.07157794386148453,0.21681900322437286,0.5208028554916382,0.40793341398239136,1.908494472503662,0.003791764145717025,0.0010262937285006046,-1.9638420781120658e-05,0.013123382814228535,0.008053643628954887,0.02789267711341381
94501000,0,1,1,1171368248954360692736,0.24290362000465393,0.06759785860776901,0.19421285390853882,0.5199700593948364,0.41103100776672363,1.8819451332092285,0.004006244707852602,0.000775880878791213,-0.0011501400731503963,0.009441155940294266,0.008017512038350105,0.031118636950850487
94502000,0,1,1,1171368248954360692736,0.23283788561820984,0.0636616200208664,0.17592264711856842,0.5160878896713257,0.41199326515197754,1.842896819114685,0.00365207577124238,0.0013161629904061556,0.0028856885619461536,0.012827141210436821,0.00974719226360321,0.027461227029561996
94503000,0,1,1,1171368248954360692736,0.2307681441307068,0.06536222249269485,0.16712327301502228,0.5302515029907227,0.4258033037185669,1.8581264019012451,0.012269924394786358,0.006079221609979868,0.004686795175075531,0.027472272515296936,0.01512308418750763,0.06004653871059418
94504000,0,1,1,1171368248954360692736,0.2583657205104828,0.06639105826616287,0.17978692054748535,0.5807657241821289,0.4602304995059967,1.9883090257644653,0.038227956742048264,-0.0058151716366410255,0.01718328520655632,0.055472537875175476,0.021350162103772163,0.09541254490613937
94505000,0,1,1,1171368248954360692736,0.26788753271102905,0.057314589619636536,0.1677047312259674,0.6045650243759155,0.4566764235496521,1.9492825269699097,0.004795913118869066,0.0018194543663412333,0.0022743006702512503,0.014314720407128334,0.01031431369483471,0.03459039703011513
94506000,0,1,1,1171368248954360692736,0.2607467770576477,0.05685381591320038,0.16235819458961487,0.6004846096038818,0.463656485080719,1.9426181316375732,0.0072053358890116215,0.0029353052377700806,0.005414701532572508,0.014727717265486717,0.012502997182309628,0.0404219813644886
94507000,0,1,1,1171368248954360692736,0.25897377729415894,0.05732479691505432,0.16132676601409912,0.5972813963890076,0.4706036448478699,1.9471789598464966,0.007972926832735538,0.003223372157663107,0.0033376228529959917,0.01604488678276539,0.01245202962309122,0.0420803539454937
94508000,0,1,1,1171368248954360692736,0.26545798778533936,0.05767785385251045,0.16729173064231873,0.5957351922988892,0.48267579078674316,1.9754912853240967,0.010317850857973099,0.0037840690929442644,0.005358648952096701,0.016020018607378006,0.01525958627462387,0.04568836838006973
94509000,0,1,1,1171368248954360692736,0.2763231694698334,0.059043847024440765,0.18210698664188385,0.5926425457000732,0.49080055952072144,2.004850387573242,0.011809658259153366,0.0026585222221910954,0.0094814607873559,0.014234978705644608,0.013122305274009705,0.04433932155370712
94510000,0,1,1,1171368248954360692736,0.28721556067466736,0.059743523597717285,0.20061805844306946,0.5883709192276001,0.4983384311199188,2.0330090522766113,0.012292280793190002,0.002923180814832449,0.009669994935393333,0.011872144415974617,0.011548787355422974,0.044253598898649216
94511000,0,1,1,1171368248954360692736,0.29808878898620605,0.061822064220905304,0.22253376245498657,0.584123432636261,0.5046221613883972,2.064418315887451,0.01080110389739275,0.003285232000052929,0.010696347802877426,0.013214198872447014,0.014453800395131111,0.04771088808774948
94512000,0,1,1,1171368248954360692736,0.31390392780303955,0.06338005512952805,0.2578699588775635,0.5784528851509094,0.5079621076583862,2.1108338832855225,0.016821760684251785,0.0022154850885272026,0.01969325914978981,0.012601791881024837,0.010721514001488686,0.05293795466423035
94513000,0,1,1,1171368248954360692736,0.3285694122314453,0.06340673565864563,0.2914077639579773,0.5712579488754272,0.5014675855636597,2.1400463581085205,0.013049241155385971,0.002553887665271759,0.01429666019976139,0.014378679916262627,0.011458361521363258,0.04984467476606369
94514000,0,1,1,1171368248954360692736,0.33420461416244507,0.0632467269897461,0.3075474798679352,0.5614138841629028,0.4862116575241089,2.133302927017212,0.009534693323075771,0.0026523142587393522,0.009784141555428505,0.012017417699098587,0.009166406467556953,0.04171013832092285
