version,tmirCoeff,tmirExp,plPosValid,plPosFrame,plVelValid,plVelFrame,plTimeValid,reserved,iTOW,plPos1,plPos2,plPos3,plVel1,plVel2,plVel3,plPosHorizOrient,plVelHorizOrient,plTime,reserved2
1,5,0,1,1,0,0,0,0,94537000,1739,2129,4367,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94538000,1709,2117,4325,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94539000,1676,2097,4269,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94540000,1653,2079,4234,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94541000,1639,2069,4210,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94542000,1622,2055,4175,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94543000,1609,2044,4156,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94544000,1595,2029,4122,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94545000,1587,2020,4102,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94546000,1573,2010,4069,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94547000,1569,2008,4058,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94548000,1560,2004,4038,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94549000,1549,1983,4002,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94550000,1534,1973,3976,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94551000,1517,1966,3952,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94552000,1504,1963,3940,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94553000,1487,1952,3922,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94554000,1473,1959,3928,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94555000,1460,1969,3937,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94556000,1459,1990,3969,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94557000,1471,2019,4011,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94558000,1487,2025,4031,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94559000,1507,2050,4065,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94560000,1536,2082,4111,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94561000,1579,2119,4158,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94562000,1676,2211,4322,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94563000,1788,2243,4434,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94564000,1859,2225,4454,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94565000,1909,2218,4490,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94566000,1975,2221,4541,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94567000,2047,2240,4615,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94568000,2131,2278,4715,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94569000,2182,2296,4766,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94570000,2213,2307,4791,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94571000,2234,2322,4809,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94572000,2228,2332,4790,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94573000,2212,2358,4782,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94574000,2186,2372,4744,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94575000,2149,2383,4704,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94576000,2124,2401,4682,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94577000,2107,2429,4693,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94578000,2080,2443,4675,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94579000,2042,2445,4650,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94580000,2031,2477,4676,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94581000,2004,2504,4669,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94582000,1981,2515,4672,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94583000,1947,2493,4637,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94584000,1928,2486,4640,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94585000,1875,2447,4580,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94586000,1811,2382,4495,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94587000,1757,2330,4427,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94588000,1706,2273,4347,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94589000,1665,2229,4284,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94590000,1625,2174,4213,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94591000,1592,2137,4171,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94592000,1573,2119,4163,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94593000,1553,2087,4141,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94594000,1538,2065,4134,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94595000,1526,2047,4125,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94596000,1518,2038,4124,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94597000,1513,2038,4138,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94598000,1512,2048,4159,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94599000,1510,2069,4181,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94600000,1524,2096,4230,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94601000,1543,2130,4277,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94602000,1571,2176,4349,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94603000,1578,2199,4373,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94604000,1618,2244,4458,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94605000,1650,2267,4497,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94606000,1700,2305,4574,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94607000,1720,2320,4598,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94608000,1768,2366,4694,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94609000,1771,2377,4698,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94610000,1753,2382,4675,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94611000,1739,2395,4671,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94612000,1741,2438,4713,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94613000,1728,2459,4720,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94614000,1730,2478,4750,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94615000,1763,2505,4822,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94616000,1788,2512,4858,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94617000,1798,2513,4862,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94618000,1828,2522,4915,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94619000,1865,2525,4954,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94620000,1918,2545,5030,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94621000,1986,2580,5145,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94622000,2015,2570,5175,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94623000,2057,2582,5229,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94624000,2115,2590,5295,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94625000,2168,2571,5334,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94626000,2227,2568,5403,0,0,0,0,0,0,0
1,5,0,1,1,0,0,0,0,94627000,2279,2573,5468,0,0,0,0,0,0,0
