msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,50,58,12,27,17,74,514,14,0,0,30,0
1,1,50,58,12,27,18,74,515,14,0,0,28,0
1,1,51,58,12,27,17,74,516,14,0,0,28,0
1,1,50,58,12,27,18,74,517,14,0,0,28,0
1,1,48,58,12,27,15,74,518,14,0,0,30,0
1,1,49,58,12,27,17,74,519,14,0,0,30,0
1,1,49,58,12,27,20,74,520,14,0,0,28,0
1,1,48,58,12,27,17,74,521,14,0,0,32,0
1,1,49,58,12,27,15,74,522,14,0,0,29,0
1,1,52,58,12,27,16,74,523,14,0,0,29,0
1,1,54,58,12,27,15,74,524,14,0,0,31,0
1,1,53,58,12,27,16,74,525,14,0,0,30,0
1,1,51,58,12,27,15,74,526,14,0,0,28,0
1,1,50,58,12,27,18,74,527,14,0,0,30,0
1,1,53,58,12,27,19,74,528,14,0,0,30,0
1,1,53,58,12,27,19,74,529,14,0,0,30,0
1,1,48,58,12,27,15,74,530,14,0,0,28,0
1,1,48,58,12,27,16,74,531,14,0,0,28,0
1,1,49,58,12,27,19,74,532,14,0,0,30,0
1,1,50,58,12,27,15,74,533,14,0,0,31,0
1,1,52,58,12,27,15,74,534,14,0,0,30,0
1,1,53,58,12,27,15,74,535,14,0,0,31,0
1,1,53,58,12,27,15,74,536,14,0,0,30,0
1,1,52,58,12,27,15,74,537,14,0,0,30,0
1,1,52,58,12,27,16,74,538,14,0,0,28,0
1,1,52,58,12,27,15,74,539,14,0,0,31,0
1,1,53,58,12,27,15,74,540,14,0,0,31,0
1,1,51,58,12,27,16,74,541,14,0,0,29,0
1,1,51,58,12,27,15,74,542,14,0,0,28,0
1,1,52,58,12,27,16,74,543,14,0,0,30,0
1,1,53,58,12,27,15,74,544,14,0,0,29,0
1,1,52,58,12,27,15,74,545,14,0,0,30,0
1,1,50,58,12,27,16,74,546,14,0,0,28,0
1,1,51,58,12,27,15,74,547,14,0,0,28,0
1,1,50,58,12,27,15,74,548,14,0,0,29,0
1,1,49,58,12,27,15,74,549,14,0,0,29,0
1,1,50,58,12,27,15,74,550,14,0,0,28,0
1,1,49,58,12,27,17,74,551,14,0,0,31,0
1,1,52,58,12,27,15,74,552,14,0,0,28,0
1,1,53,58,12,27,15,74,553,14,0,0,30,0
1,1,53,58,12,27,15,74,554,14,0,0,32,0
1,1,53,58,12,27,19,74,555,14,0,0,30,0
1,1,51,58,12,27,15,74,556,14,0,0,28,0
1,1,50,58,12,27,15,74,557,14,0,0,29,0
1,1,50,58,12,27,15,74,558,14,0,0,30,0
1,1,50,58,12,27,16,74,559,14,0,0,31,0
1,1,51,58,12,27,16,74,560,14,0,0,27,0
1,1,51,58,12,27,18,74,561,14,0,0,30,0
