version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,94573000,114.180072512,22.305703348,18400.9,20014.1,876.3,1295.8
0,0,0,94574000,114.180080349,22.305708737,18329.1,19942.3,874.1,1285.8
0,0,0,94575000,114.180088181,22.305714759,18411.0,20024.1,869.7,1274.7
0,0,0,94576000,114.180095355,22.305721294,18236.6,19849.7,868.9,1268.8
0,0,0,94577000,114.18010233,22.305727191,18147.4,19760.5,866.7,1264.9
0,0,0,94578000,114.180109066,22.305732346,18088.2,19701.3,864.8,1260.0
0,0,0,94579000,114.180115334,22.305737983,17853.4,19466.4,863.4,1260.1
0,0,0,94580000,114.180122577,22.305744518,17773.4,19386.4,863.5,1260.4
0,0,0,94581000,114.180129799,22.305751893,17726.6,19339.6,864.3,1258.6
0,0,0,94582000,114.180135696,22.305759257,17638.5,19251.6,862.9,1259.3
0,0,0,94583000,114.180141296,22.305765445,17506.3,19119.3,857.2,1256.5
0,0,0,94584000,114.180148958,22.305769686,17598.6,19211.6,852.6,1257.4
0,0,0,94585000,114.180156832,22.305773123,17560.0,19172.9,835.4,1241.2
0,0,0,94586000,114.1801644,22.305777515,17590.1,19203.0,810.9,1218.2
0,0,0,94587000,114.180172597,22.305782604,17718.2,19331.1,786.6,1193.3
0,0,0,94588000,114.180181273,22.305787478,17587.3,19200.2,766.0,1171.7
0,0,0,94589000,114.180190095,22.305792683,17453.2,19066.1,750.1,1154.8
0,0,0,94590000,114.180198652,22.305798475,17452.3,19065.1,735.5,1141.8
0,0,0,94591000,114.180206851,22.305803604,17464.3,19077.1,722.2,1130.3
0,0,0,94592000,114.180215907,22.305807856,17466.7,19079.5,715.1,1128.1
0,0,0,94593000,114.180224953,22.305811922,17389.4,19002.2,705.0,1122.2
0,0,0,94594000,114.180233942,22.305815891,17294.3,18907.1,697.8,1120.2
0,0,0,94595000,114.180243352,22.305820044,17331.2,18943.9,692.1,1117.9
0,0,0,94596000,114.180252724,22.305824101,17367.5,18980.3,688.6,1117.7
0,0,0,94597000,114.180262583,22.305826834,17225.0,18837.6,687.9,1121.3
0,0,0,94598000,114.180273587,22.305827277,17039.5,18652.2,690.0,1127.2
0,0,0,94599000,114.180284408,22.305825523,16857.9,18470.5,694.1,1132.9
