version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,83,5265,5,11,154,4,147,0,1,0,1,2,0,0,51,4914,6,17,193,12,195,0
0,2,0,0,0,1,2,0,0,83,5265,4,5,155,3,147,0,1,0,1,2,0,0,51,4914,4,12,164,12,156,0
0,2,0,0,0,1,2,0,0,83,5265,4,16,151,9,145,0,1,0,1,2,0,0,51,4914,7,8,173,18,161,0
0,2,0,0,0,1,2,0,0,83,5265,5,13,150,6,143,0,1,0,1,2,0,0,51,4914,4,17,172,6,165,0
0,2,0,0,0,1,2,0,0,83,5265,6,17,151,4,144,0,1,0,1,2,0,0,51,4914,7,15,175,10,157,0
0,2,0,0,0,1,2,0,0,84,5265,6,13,151,5,146,0,1,0,1,2,0,0,51,4914,8,21,166,3,165,0
0,2,0,0,0,1,2,0,0,84,5265,8,10,148,6,146,0,1,0,1,2,0,0,51,4914,7,22,169,5,174,0
0,2,0,0,0,1,2,0,0,84,5265,5,0,146,5,143,0,1,0,1,2,0,0,51,4914,6,19,168,17,159,0
0,2,0,0,0,1,2,0,0,84,5265,6,13,149,4,143,0,1,0,1,2,0,0,51,4914,7,19,167,10,158,0
0,2,0,0,0,1,2,0,0,84,5265,5,14,148,5,147,0,1,0,1,2,0,0,51,4914,6,18,197,7,190,0
0,2,0,0,0,1,2,0,0,84,5265,5,12,147,2,148,0,1,0,1,2,0,0,51,4914,7,18,188,2,178,0
0,2,0,0,0,1,2,0,0,84,5265,5,5,150,5,145,0,1,0,1,2,0,0,51,4914,3,14,164,9,164,0
0,2,0,0,0,1,2,0,0,84,5265,6,15,150,2,145,0,1,0,1,2,0,0,51,4914,5,24,168,9,161,0
0,2,0,0,0,1,2,0,0,84,5265,4,16,152,0,149,0,1,0,1,2,0,0,51,4914,3,17,183,8,169,0
0,2,0,0,0,1,2,0,0,84,5265,6,14,150,1,147,0,1,0,1,2,0,0,51,4914,3,17,158,0,171,0
0,2,0,0,0,1,2,0,0,84,5265,5,13,151,2,145,0,1,0,1,2,0,0,51,4914,5,16,162,3,166,0
0,2,0,0,0,1,2,0,0,84,5265,5,9,149,3,143,0,1,0,1,2,0,0,51,4914,5,17,152,13,143,0
0,2,0,0,0,1,2,0,0,84,5265,5,8,150,1,144,0,1,0,1,2,0,0,51,4914,6,13,180,1,178,0
0,2,0,0,0,1,2,0,0,84,5265,5,2,150,3,146,0,1,0,1,2,0,0,51,4914,7,17,177,2,172,0
0,2,0,0,0,1,2,0,0,84,5265,6,3,152,4,147,0,1,0,1,2,0,0,51,4914,6,19,163,11,176,0
0,2,0,0,0,1,2,0,0,83,5265,6,16,153,0,146,0,1,0,1,2,0,0,50,4914,6,16,159,7,167,0
0,2,0,0,0,1,2,0,0,83,5265,5,15,151,3,144,0,1,0,1,2,0,0,50,4914,6,21,169,5,158,0
0,2,0,0,0,1,2,0,0,83,5265,4,7,149,0,149,0,1,0,1,2,0,0,51,4914,14,16,165,0,159,0
0,2,0,0,0,1,2,0,0,83,5265,8,10,149,0,145,0,1,0,1,2,0,0,54,4914,13,14,189,13,198,0
0,2,0,0,0,1,2,0,0,83,5265,6,5,151,1,145,0,1,0,1,2,0,0,54,4914,12,12,192,4,180,0
0,2,0,0,0,1,2,0,0,84,5265,6,14,152,5,142,0,1,0,1,2,0,0,54,4914,4,15,202,2,224,0
0,2,0,0,0,1,2,0,0,84,5265,6,16,152,4,146,0,1,0,1,2,0,0,50,4563,4,24,189,14,194,0
0,2,0,0,0,1,2,0,0,89,5265,3,8,152,2,148,0,1,0,1,2,0,0,47,4563,3,11,184,22,155,0
0,2,0,0,0,1,2,0,0,89,5265,3,15,153,4,145,0,1,0,1,2,0,0,47,4563,2,18,128,27,135,0
0,2,0,0,0,1,2,0,0,89,5265,5,13,154,2,149,0,1,0,1,2,0,0,47,4563,3,22,186,21,179,0
0,2,0,0,0,1,2,0,0,90,5265,5,13,159,0,153,0,1,0,1,2,0,0,47,4563,4,20,156,4,136,0
0,2,0,0,0,1,2,0,0,96,5265,5,10,154,1,150,0,1,0,1,2,0,0,47,4563,5,21,157,24,149,0
0,2,0,0,0,1,2,0,0,96,5265,7,14,160,2,153,0,1,0,1,2,0,0,47,4563,3,21,136,20,131,0
0,2,0,0,0,1,2,0,0,96,5265,7,17,154,4,148,0,1,0,1,2,0,0,51,4563,2,23,167,18,154,0
0,2,0,0,0,1,2,0,0,95,5265,6,11,152,6,148,0,1,0,1,2,0,0,51,4563,2,20,184,11,172,0
0,2,0,0,0,1,2,0,0,95,5265,7,9,153,3,156,0,1,0,1,2,0,0,51,4563,3,24,178,9,162,0
0,2,0,0,0,1,2,0,0,89,5265,5,13,152,3,147,0,1,0,1,2,0,0,51,4563,4,24,162,21,135,0
0,2,0,0,0,1,2,0,0,95,5265,6,15,151,7,152,0,1,0,1,2,0,0,51,4563,2,23,125,25,121,0
0,2,0,0,0,1,2,0,0,94,5265,5,11,158,0,155,0,1,0,1,2,0,0,55,4914,3,10,229,8,231,0
0,2,0,0,0,1,2,0,0,88,5265,6,11,169,0,165,0,1,0,1,2,0,0,51,4563,2,26,226,0,191,0
0,2,0,0,0,1,2,0,0,88,5265,7,12,164,2,164,0,1,0,1,2,0,0,50,4563,2,14,214,11,185,0
