version,nPorts,mem,alloc,reserved0,protIds_01,protIds_02,protIds_03,protIds_04,portId_01,txPending_01,txBytes_01,txUsage_01,txPeakUsage_01,rxPending_01,rxBytes_01,rxUsage_01,rxPeakUsage_01,overrunErrs_01,msgs_01_01,msgs_01_02,msgs_01_03,msgs_01_04,reserved1_01,skipped_01,portId_02,txPending_02,txBytes_02,txUsage_02,txPeakUsage_02,rxPending_02,rxBytes_02,rxUsage_02,rxPeakUsage_02,overrunErrs_02,msgs_02_01,msgs_02_02,msgs_02_03,msgs_02_04,reserved1_02,skipped_02,portId_03,txPending_03,txBytes_03,txUsage_03,txPeakUsage_03,rxPending_03,rxBytes_03,rxUsage_03,rxPeakUsage_03,overrunErrs_03,msgs_03_01,msgs_03_02,msgs_03_03,msgs_03_04,reserved1_03,skipped_03,portId_04,txPending_04,txBytes_04,txUsage_04,txPeakUsage_04,rxPending_04,rxBytes_04,rxUsage_04,rxPeakUsage_04,overrunErrs_04,msgs_04_01,msgs_04_02,msgs_04_03,msgs_04_04,reserved1_04,skipped_04
0,4,0,0,0,0,1,5,6,256,1073,557976,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2623370,0,0,0,2564566,4,12,0,12200,0,0,0,0,132,768,0,3132185,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2552114,9,10,0,2015590,3,8,0,5905,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1073,559913,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2629170,0,0,0,2571016,4,12,0,12227,0,0,0,0,132,768,0,3142396,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2558638,9,10,0,2021390,5,8,0,5921,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1115,561780,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2635346,0,0,0,2578240,5,12,0,12261,0,0,0,0,132,768,0,3153149,19,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2565750,9,10,0,2027566,5,8,0,5939,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1001,563793,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2640914,0,0,0,2584851,4,12,0,12288,0,0,0,0,132,768,0,3163376,17,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2572274,9,10,0,2033134,4,8,0,5954,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1073,565732,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2647090,0,0,0,2592174,5,12,0,12327,0,0,0,0,132,768,0,3174557,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2579806,9,10,0,2039310,5,8,0,5972,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1060,567671,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2653266,0,0,0,2599057,4,12,0,12354,0,0,0,0,132,768,0,3184893,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2586330,9,10,0,2045486,4,8,0,5990,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,955,569595,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2659298,0,0,0,2605885,5,12,0,12390,0,0,0,0,132,768,0,3195248,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2593610,9,10,0,2051518,5,8,0,6007,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1038,571486,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2665242,0,0,0,2612651,5,12,0,12417,0,0,0,0,132,768,0,3205546,18,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2600134,8,10,0,2057462,4,8,0,6024,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1080,573316,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2671418,0,0,0,2620065,4,12,0,12454,0,0,0,0,132,768,0,3216562,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2607498,9,10,0,2063638,5,8,0,6042,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,966,575292,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2677218,0,0,0,2626585,5,12,0,12481,0,0,0,0,132,768,0,3226940,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2614022,9,10,0,2069438,5,8,0,6058,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1038,577126,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2683394,0,0,0,2634636,5,12,0,12528,0,0,0,0,132,768,0,3238676,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2622226,9,10,0,2075614,4,8,0,6076,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1038,579104,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2689106,0,0,0,2641079,5,12,0,12555,0,0,0,0,132,768,0,3249084,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2628750,9,10,0,2081326,5,8,0,6092,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1038,580936,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2695138,0,0,0,2648547,4,12,0,12593,0,0,0,0,132,768,0,3259874,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2636198,9,10,0,2087358,3,8,0,6109,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1038,582912,14,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2701082,0,0,0,2655132,4,12,0,12620,0,0,0,0,132,768,0,3270276,16,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2642722,9,10,0,2093302,5,8,0,6126,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1102,584816,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2707258,0,0,0,2662264,5,12,0,12656,0,0,0,0,132,768,0,3281588,17,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2650002,9,10,0,2099478,4,8,0,6144,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1078,586690,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2713058,0,0,0,2668807,5,12,0,12683,0,0,0,0,132,768,0,3292044,19,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2656526,8,10,0,2105278,5,8,0,6160,0,0,0,0,0
0,4,0,0,0,0,1,5,6,256,1086,588636,15,15,0,0,0,0,0,0,0,0,0,0,0,512,0,2719234,0,0,0,2676422,5,12,0,12723,0,0,0,0,132,768,0,3303460,15,74,0,840,0,0,0,57,0,0,0,0,0,257,0,2664142,9,10,0,2111454,4,8,0,6178,0,0,0,0,0
